tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost,usage_group
TA-00024,S-0066,8/1/2013,0,0,Yes,25,2.573404628,0 - 100
TA-00024,S-0066,8/1/2013,0,0,Yes,50,2.256249896,0 - 100
TA-00024,S-0066,8/1/2013,0,0,Yes,100,2.114364884,0 - 100
TA-00024,S-0066,8/1/2013,0,0,Yes,250,2.030903112,0 - 100
TA-00025,S-0066,8/1/2013,0,0,Yes,1,20.78198116,0 - 100
TA-00025,S-0066,8/1/2013,0,0,Yes,2,11.21726212,0 - 100
TA-00025,S-0066,8/1/2013,0,0,Yes,5,5.477874284,0 - 100
TA-00025,S-0066,8/1/2013,0,0,Yes,10,3.566599712,0 - 100
TA-00025,S-0066,8/1/2013,0,0,Yes,25,2.417609321,0 - 100
TA-00025,S-0066,8/1/2013,0,0,Yes,50,2.103236648,0 - 100
TA-00025,S-0066,8/1/2013,0,0,Yes,100,1.961351636,0 - 100
TA-00025,S-0066,8/1/2013,0,0,Yes,250,1.877889864,0 - 100
TA-00027,S-0062,9/24/1993,30,1,No,1,2.737546113,0 - 100
TA-00028,S-0062,6/24/2011,3,0,Yes,5,16.7090467,0 - 100
TA-00028,S-0062,6/24/2011,3,0,Yes,10,10.1517335,0 - 100
TA-00031,S-0014,7/29/2002,2,0,Yes,2,25.0190571,0 - 100
TA-00031,S-0014,7/29/2002,2,0,Yes,4,14.58633564,0 - 100
TA-00031,S-0014,7/29/2002,2,0,Yes,6,11.10876182,0 - 100
TA-00031,S-0014,7/29/2002,2,0,Yes,8,9.369974906,0 - 100
TA-00031,S-0014,7/29/2002,2,0,Yes,10,8.326702759,0 - 100
TA-00031,S-0014,7/29/2002,2,0,Yes,12,7.631187995,0 - 100
TA-00034,S-0062,8/7/2014,50,0,Yes,1,94.02524997,0 - 100
TA-00034,S-0062,2/2/1993,280,1,Yes,1,4.829654524,200 - 300
TA-00034,S-0062,8/7/2014,50,0,Yes,6,22.66265308,0 - 100
TA-00034,S-0062,8/7/2014,50,0,Yes,10,16.9538679,0 - 100
TA-00034,S-0062,8/7/2014,50,0,Yes,20,11.67630186,0 - 100
TA-00034,S-0062,8/7/2014,50,0,Yes,50,8.969358402,0 - 100
TA-00037,S-0062,9/1/1994,600,1,No,1,1.56351719,600 - 700
TA-00046,S-0026,11/19/2010,15,1,No,1,228.1483171,0 - 100
TA-00047,S-0072,4/12/2006,10,1,No,1,7.834278306,0 - 100
TA-00048,S-0026,9/1/2009,180,20,No,1,2.940636424,100 - 200
TA-00052,S-0066,10/1/2013,0,0,Yes,1,29.55937749,0 - 100
TA-00052,S-0066,10/1/2013,0,0,Yes,2,17.69945972,0 - 100
TA-00052,S-0066,10/1/2013,0,0,Yes,5,10.58295265,0 - 100
TA-00052,S-0066,10/1/2013,0,0,Yes,10,8.209856279,0 - 100
TA-00052,S-0066,10/1/2013,0,0,Yes,25,6.7882241,0 - 100
TA-00052,S-0066,10/1/2013,0,0,Yes,50,6.379261419,0 - 100
TA-00052,S-0066,10/1/2013,0,0,Yes,100,6.192863462,0 - 100
TA-00052,S-0066,10/1/2013,0,0,Yes,250,6.0815811,0 - 100
TA-00054,S-0064,6/21/2005,5,0,Yes,2,38.78746738,0 - 100
TA-00054,S-0064,6/21/2005,5,0,Yes,3,27.95969353,0 - 100
TA-00054,S-0064,6/21/2005,5,0,Yes,4,22.59310161,0 - 100
TA-00054,S-0064,6/21/2005,5,0,Yes,6,16.57550786,0 - 100
TA-00056,S-0066,9/1/2013,0,0,Yes,1,28.64686212,0 - 100
TA-00056,S-0066,9/1/2013,0,0,Yes,2,16.78694435,0 - 100
TA-00056,S-0066,9/1/2013,0,0,Yes,5,9.670437284,0 - 100
TA-00056,S-0066,9/1/2013,0,0,Yes,10,7.300122967,0 - 100
TA-00056,S-0066,9/1/2013,0,0,Yes,25,5.87570873,0 - 100
TA-00056,S-0066,9/1/2013,0,0,Yes,50,5.469528107,0 - 100
TA-00056,S-0066,9/1/2013,0,0,Yes,100,5.280348091,0 - 100
TA-00056,S-0066,9/1/2013,0,0,Yes,250,5.169065729,0 - 100
TA-00058,S-0072,7/29/2014,2,0,Yes,2,11.91555894,0 - 100
TA-00058,S-0072,7/29/2014,2,0,Yes,4,8.646639551,0 - 100
TA-00058,S-0072,7/29/2014,2,0,Yes,6,7.227789432,0 - 100
TA-00058,S-0072,7/29/2014,2,0,Yes,8,6.451594954,0 - 100
TA-00061,S-0066,6/1/2013,0,0,Yes,1,21.32170062,0 - 100
TA-00061,S-0066,6/1/2013,0,0,Yes,2,11.75698158,0 - 100
TA-00061,S-0066,6/1/2013,0,0,Yes,5,6.020375801,0 - 100
TA-00061,S-0066,6/1/2013,0,0,Yes,10,4.106319169,0 - 100
TA-00061,S-0066,6/1/2013,0,0,Yes,25,2.957328778,0 - 100
TA-00061,S-0066,6/1/2013,0,0,Yes,50,2.642956105,0 - 100
TA-00061,S-0066,6/1/2013,0,0,Yes,100,2.501071093,0 - 100
TA-00061,S-0066,6/1/2013,0,0,Yes,250,2.417609321,0 - 100
TA-00062,S-0041,6/3/2014,200,60,No,60,2.375878435,200 - 300
TA-00063,S-0041,6/3/2014,200,40,No,40,1.549606895,200 - 300
TA-00064,S-0041,6/3/2014,300,60,No,60,2.18391636,300 - 400
TA-00066,S-0062,4/6/1999,8821,1,No,1,1.263054812,8000 - 9000
TA-00068,S-0026,8/19/2002,701,1,Yes,1,4.787923638,700 - 800
TA-00073,S-0026,7/5/2000,115,1,No,1,10.74709414,100 - 200
TA-00076,S-0066,8/11/2013,0,0,Yes,1,22.50685778,0 - 100
TA-00076,S-0066,8/11/2013,0,0,Yes,2,12.94213874,0 - 100
TA-00076,S-0066,8/11/2013,0,0,Yes,5,7.2027509,0 - 100
TA-00076,S-0066,8/11/2013,0,0,Yes,10,5.291476327,0 - 100
TA-00076,S-0066,8/11/2013,0,0,Yes,25,4.142485937,0 - 100
TA-00076,S-0066,8/11/2013,0,0,Yes,50,3.825331204,0 - 100
TA-00076,S-0066,8/11/2013,0,0,Yes,100,3.686228251,0 - 100
TA-00076,S-0066,8/11/2013,0,0,Yes,250,3.59998442,0 - 100
TA-00077,S-0066,4/5/2012,5,0,Yes,3,35.30432944,0 - 100
TA-00077,S-0066,4/5/2012,5,0,Yes,6,23.1578596,0 - 100
TA-00077,S-0066,4/5/2012,5,0,Yes,9,18.79280893,0 - 100
TA-00077,S-0066,4/5/2012,5,0,Yes,12,16.2472249,0 - 100
TA-00078,S-0066,6/1/2013,0,0,Yes,1,21.60547064,0 - 100
TA-00078,S-0066,6/1/2013,0,0,Yes,2,12.0407516,0 - 100
TA-00078,S-0066,6/1/2013,0,0,Yes,5,6.301363765,0 - 100
TA-00078,S-0066,6/1/2013,0,0,Yes,10,4.387307134,0 - 100
TA-00078,S-0066,6/1/2013,0,0,Yes,25,3.241098802,0 - 100
TA-00078,S-0066,6/1/2013,0,0,Yes,50,2.923944069,0 - 100
TA-00078,S-0066,6/1/2013,0,0,Yes,100,2.782059058,0 - 100
TA-00078,S-0066,6/1/2013,0,0,Yes,250,2.698597286,0 - 100
TA-00080,S-0066,8/11/2013,0,0,Yes,1,21.53870122,0 - 100
TA-00080,S-0066,8/11/2013,0,0,Yes,2,11.97398218,0 - 100
TA-00080,S-0066,8/11/2013,0,0,Yes,5,6.234594348,0 - 100
TA-00080,S-0066,8/11/2013,0,0,Yes,10,4.320537716,0 - 100
TA-00080,S-0066,8/11/2013,0,0,Yes,25,3.174329385,0 - 100
TA-00080,S-0066,8/11/2013,0,0,Yes,50,2.857174652,0 - 100
TA-00080,S-0066,8/11/2013,0,0,Yes,100,2.718071699,0 - 100
TA-00080,S-0066,8/11/2013,0,0,Yes,250,2.631827868,0 - 100
TA-00082,S-0066,8/11/2013,0,0,Yes,1,21.49140622,0 - 100
TA-00082,S-0066,8/11/2013,0,0,Yes,2,11.92668718,0 - 100
TA-00082,S-0066,8/11/2013,0,0,Yes,5,6.187299344,0 - 100
TA-00082,S-0066,8/11/2013,0,0,Yes,10,4.273242712,0 - 100
TA-00082,S-0066,8/11/2013,0,0,Yes,25,3.127034381,0 - 100
TA-00082,S-0066,8/11/2013,0,0,Yes,50,2.809879648,0 - 100
TA-00082,S-0066,8/11/2013,0,0,Yes,100,2.667994636,0 - 100
TA-00082,S-0066,8/11/2013,0,0,Yes,250,2.584532864,0 - 100
TA-00083,S-0066,6/1/2013,0,0,Yes,1,21.49140622,0 - 100
TA-00083,S-0066,6/1/2013,0,0,Yes,2,11.92668718,0 - 100
TA-00083,S-0066,6/1/2013,0,0,Yes,5,6.187299344,0 - 100
TA-00083,S-0066,6/1/2013,0,0,Yes,10,4.273242712,0 - 100
TA-00083,S-0066,6/1/2013,0,0,Yes,25,3.127034381,0 - 100
TA-00083,S-0066,6/1/2013,0,0,Yes,50,2.809879648,0 - 100
TA-00083,S-0066,6/1/2013,0,0,Yes,100,2.667994636,0 - 100
TA-00083,S-0066,6/1/2013,0,0,Yes,250,2.584532864,0 - 100
TA-00084,S-0066,8/11/2013,0,0,Yes,1,21.59712446,0 - 100
TA-00084,S-0066,8/11/2013,0,0,Yes,2,12.03240542,0 - 100
TA-00084,S-0066,8/11/2013,0,0,Yes,5,6.293017588,0 - 100
TA-00084,S-0066,8/11/2013,0,0,Yes,10,4.378960957,0 - 100
TA-00084,S-0066,8/11/2013,0,0,Yes,25,3.232752625,0 - 100
TA-00084,S-0066,8/11/2013,0,0,Yes,50,2.915597892,0 - 100
TA-00084,S-0066,8/11/2013,0,0,Yes,100,2.77371288,0 - 100
TA-00084,S-0066,8/11/2013,0,0,Yes,250,2.690251109,0 - 100
TA-00085,S-0066,6/1/2013,0,0,Yes,1,21.56373976,0 - 100
TA-00085,S-0066,6/1/2013,0,0,Yes,2,11.99902072,0 - 100
TA-00085,S-0066,6/1/2013,0,0,Yes,5,6.259632879,0 - 100
TA-00085,S-0066,6/1/2013,0,0,Yes,10,4.345576248,0 - 100
TA-00085,S-0066,6/1/2013,0,0,Yes,25,3.199367916,0 - 100
TA-00085,S-0066,6/1/2013,0,0,Yes,50,2.882213184,0 - 100
TA-00085,S-0066,6/1/2013,0,0,Yes,100,2.743110231,0 - 100
TA-00085,S-0066,6/1/2013,0,0,Yes,250,2.6568664,0 - 100
TA-00086,S-0066,8/11/2013,0,0,Yes,1,21.19094384,0 - 100
TA-00086,S-0066,8/11/2013,0,0,Yes,2,11.6262248,0 - 100
TA-00086,S-0066,8/11/2013,0,0,Yes,5,5.886836966,0 - 100
TA-00086,S-0066,8/11/2013,0,0,Yes,10,3.975562393,0 - 100
TA-00086,S-0066,8/11/2013,0,0,Yes,25,2.826572002,0 - 100
TA-00086,S-0066,8/11/2013,0,0,Yes,50,2.512199329,0 - 100
TA-00086,S-0066,8/11/2013,0,0,Yes,100,2.370314317,0 - 100
TA-00086,S-0066,8/11/2013,0,0,Yes,250,2.286852545,0 - 100
TA-00087,S-0066,6/1/2013,0,0,Yes,1,21.21598237,0 - 100
TA-00087,S-0066,6/1/2013,0,0,Yes,2,11.65126333,0 - 100
TA-00087,S-0066,6/1/2013,0,0,Yes,5,5.911875497,0 - 100
TA-00087,S-0066,6/1/2013,0,0,Yes,10,4.000600925,0 - 100
TA-00087,S-0066,6/1/2013,0,0,Yes,25,2.851610534,0 - 100
TA-00087,S-0066,6/1/2013,0,0,Yes,50,2.53723786,0 - 100
TA-00087,S-0066,6/1/2013,0,0,Yes,100,2.395352849,0 - 100
TA-00087,S-0066,6/1/2013,0,0,Yes,250,2.309109018,0 - 100
TA-00088,S-0013,5/1/2011,8,8,No,8,7.561636518,0 - 100
TA-00091,S-0066,6/1/2013,0,0,Yes,1,21.53870122,0 - 100
TA-00091,S-0066,6/1/2013,0,0,Yes,2,11.97398218,0 - 100
TA-00091,S-0066,6/1/2013,0,0,Yes,5,6.234594348,0 - 100
TA-00091,S-0066,6/1/2013,0,0,Yes,10,4.320537716,0 - 100
TA-00091,S-0066,6/1/2013,0,0,Yes,25,3.174329385,0 - 100
TA-00091,S-0066,6/1/2013,0,0,Yes,50,2.857174652,0 - 100
TA-00091,S-0066,6/1/2013,0,0,Yes,100,2.718071699,0 - 100
TA-00091,S-0066,6/1/2013,0,0,Yes,250,2.631827868,0 - 100
TA-00092,S-0066,6/1/2013,0,0,Yes,1,21.57208593,0 - 100
TA-00092,S-0066,6/1/2013,0,0,Yes,2,12.00736689,0 - 100
TA-00092,S-0066,6/1/2013,0,0,Yes,5,6.267979057,0 - 100
TA-00092,S-0066,6/1/2013,0,0,Yes,10,4.353922425,0 - 100
TA-00092,S-0066,6/1/2013,0,0,Yes,25,3.207714093,0 - 100
TA-00092,S-0066,6/1/2013,0,0,Yes,50,2.890559361,0 - 100
TA-00092,S-0066,6/1/2013,0,0,Yes,100,2.751456408,0 - 100
TA-00092,S-0066,6/1/2013,0,0,Yes,250,2.665212577,0 - 100
TA-00093,S-0066,6/1/2013,0,0,Yes,1,21.59712446,0 - 100
TA-00093,S-0066,6/1/2013,0,0,Yes,2,12.03240542,0 - 100
TA-00093,S-0066,6/1/2013,0,0,Yes,5,6.293017588,0 - 100
TA-00093,S-0066,6/1/2013,0,0,Yes,10,4.378960957,0 - 100
TA-00093,S-0066,6/1/2013,0,0,Yes,25,3.232752625,0 - 100
TA-00093,S-0066,6/1/2013,0,0,Yes,50,2.915597892,0 - 100
TA-00093,S-0066,6/1/2013,0,0,Yes,100,2.77371288,0 - 100
TA-00093,S-0066,6/1/2013,0,0,Yes,250,2.690251109,0 - 100
TA-00096,S-0066,6/1/2013,0,0,Yes,1,21.38012386,0 - 100
TA-00096,S-0066,6/1/2013,0,0,Yes,2,11.81540482,0 - 100
TA-00096,S-0066,6/1/2013,0,0,Yes,5,6.078799041,0 - 100
TA-00096,S-0066,6/1/2013,0,0,Yes,10,4.164742409,0 - 100
TA-00096,S-0066,6/1/2013,0,0,Yes,25,3.018534077,0 - 100
TA-00096,S-0066,6/1/2013,0,0,Yes,50,2.701379345,0 - 100
TA-00096,S-0066,6/1/2013,0,0,Yes,100,2.559494333,0 - 100
TA-00096,S-0066,6/1/2013,0,0,Yes,250,2.476032561,0 - 100
TA-00099,S-0066,10/1/2013,0,0,Yes,1,27.34207642,0 - 100
TA-00099,S-0066,10/1/2013,0,0,Yes,2,17.15139409,0 - 100
TA-00099,S-0066,10/1/2013,0,0,Yes,5,11.03642828,0 - 100
TA-00099,S-0066,10/1/2013,0,0,Yes,10,8.999961051,0 - 100
TA-00099,S-0066,10/1/2013,0,0,Yes,25,7.775855066,0 - 100
TA-00099,S-0066,10/1/2013,0,0,Yes,50,7.436443861,0 - 100
TA-00099,S-0066,10/1/2013,0,0,Yes,100,7.280648554,0 - 100
TA-00099,S-0066,10/1/2013,0,0,Yes,250,7.188840605,0 - 100
TA-00101,S-0014,5/1/2005,5,1,No,1,7.094250597,0 - 100
TA-00104,S-0041,2/7/2013,1,0,Yes,1,29.48704395,0 - 100
TA-00104,S-0041,2/7/2013,1,0,Yes,6,7.931650373,0 - 100
TA-00104,S-0041,2/7/2013,1,0,Yes,20,3.953305921,0 - 100
TA-00105,S-0066,1/26/2012,2,0,Yes,2,107.8381732,0 - 100
TA-00105,S-0066,1/26/2012,2,0,Yes,4,61.96480139,0 - 100
TA-00105,S-0066,1/26/2012,2,0,Yes,6,46.42700155,0 - 100
TA-00105,S-0066,1/26/2012,2,0,Yes,8,38.8403265,0 - 100
TA-00105,S-0066,1/26/2012,2,0,Yes,10,34.28887788,0 - 100
TA-00107,S-0072,7/11/2012,5,0,Yes,2,23.5584761,0 - 100
TA-00107,S-0072,7/11/2012,5,0,Yes,4,20.61505762,0 - 100
TA-00107,S-0072,7/11/2012,5,0,Yes,6,18.84566806,0 - 100
TA-00107,S-0072,7/11/2012,5,0,Yes,8,17.66885707,0 - 100
TA-00108,S-0066,10/1/2013,0,0,Yes,1,31.2369591,0 - 100
TA-00108,S-0066,10/1/2013,0,0,Yes,2,21.04627677,0 - 100
TA-00108,S-0066,10/1/2013,0,0,Yes,5,14.93409302,0 - 100
TA-00108,S-0066,10/1/2013,0,0,Yes,10,12.89484373,0 - 100
TA-00108,S-0066,10/1/2013,0,0,Yes,25,11.67351981,0 - 100
TA-00108,S-0066,10/1/2013,0,0,Yes,50,11.33132654,0 - 100
TA-00108,S-0066,10/1/2013,0,0,Yes,100,11.17831329,0 - 100
TA-00108,S-0066,10/1/2013,0,0,Yes,250,11.08650534,0 - 100
TA-00114,S-0072,8/26/2002,791,10,Yes,1,1.307567757,700 - 800
TA-00114,S-0072,6/10/2014,150,1,Yes,1,5.63923371,100 - 200
TA-00117,S-0041,2/7/2013,1,0,Yes,1,24.99123651,0 - 100
TA-00117,S-0041,2/7/2013,1,0,Yes,6,5.269219855,0 - 100
TA-00117,S-0041,2/7/2013,1,0,Yes,20,1.627504549,0 - 100
TA-00119,S-0066,7/1/2013,0,0,Yes,1,21.6555477,0 - 100
TA-00119,S-0066,7/1/2013,0,0,Yes,2,12.09082866,0 - 100
TA-00119,S-0066,7/1/2013,0,0,Yes,5,6.351440828,0 - 100
TA-00119,S-0066,7/1/2013,0,0,Yes,10,4.440166256,0 - 100
TA-00119,S-0066,7/1/2013,0,0,Yes,25,3.291175865,0 - 100
TA-00119,S-0066,7/1/2013,0,0,Yes,50,2.976803192,0 - 100
TA-00119,S-0066,7/1/2013,0,0,Yes,100,2.83491818,0 - 100
TA-00119,S-0066,7/1/2013,0,0,Yes,250,2.748674349,0 - 100
TA-00120,S-0066,7/1/2013,0,0,Yes,1,21.46636769,0 - 100
TA-00120,S-0066,7/1/2013,0,0,Yes,2,11.90164865,0 - 100
TA-00120,S-0066,7/1/2013,0,0,Yes,5,6.165042872,0 - 100
TA-00120,S-0066,7/1/2013,0,0,Yes,10,4.25098624,0 - 100
TA-00120,S-0066,7/1/2013,0,0,Yes,25,3.101995849,0 - 100
TA-00120,S-0066,7/1/2013,0,0,Yes,50,2.787623176,0 - 100
TA-00120,S-0066,7/1/2013,0,0,Yes,100,2.645738164,0 - 100
TA-00120,S-0066,7/1/2013,0,0,Yes,250,2.562276392,0 - 100
TA-00121,S-0066,7/1/2013,0,0,Yes,1,21.46636769,0 - 100
TA-00121,S-0066,7/1/2013,0,0,Yes,2,11.90164865,0 - 100
TA-00121,S-0066,7/1/2013,0,0,Yes,5,6.165042872,0 - 100
TA-00121,S-0066,7/1/2013,0,0,Yes,10,4.25098624,0 - 100
TA-00121,S-0066,7/1/2013,0,0,Yes,25,3.101995849,0 - 100
TA-00121,S-0066,7/1/2013,0,0,Yes,50,2.787623176,0 - 100
TA-00121,S-0066,7/1/2013,0,0,Yes,100,2.645738164,0 - 100
TA-00121,S-0066,7/1/2013,0,0,Yes,250,2.562276392,0 - 100
TA-00123,S-0066,9/1/2013,0,0,Yes,1,28.52445152,0 - 100
TA-00123,S-0066,9/1/2013,0,0,Yes,2,16.66453375,0 - 100
TA-00123,S-0066,9/1/2013,0,0,Yes,5,9.548026686,0 - 100
TA-00123,S-0066,9/1/2013,0,0,Yes,10,7.177712368,0 - 100
TA-00123,S-0066,9/1/2013,0,0,Yes,25,5.753298131,0 - 100
TA-00123,S-0066,9/1/2013,0,0,Yes,50,5.34433545,0 - 100
TA-00123,S-0066,9/1/2013,0,0,Yes,100,5.157937493,0 - 100
TA-00123,S-0066,9/1/2013,0,0,Yes,250,5.04665513,0 - 100
TA-00125,S-0066,10/1/2013,0,0,Yes,1,28.57174652,0 - 100
TA-00125,S-0066,10/1/2013,0,0,Yes,2,16.71182876,0 - 100
TA-00125,S-0066,10/1/2013,0,0,Yes,5,9.595321689,0 - 100
TA-00125,S-0066,10/1/2013,0,0,Yes,10,7.222225313,0 - 100
TA-00125,S-0066,10/1/2013,0,0,Yes,25,5.800593135,0 - 100
TA-00125,S-0066,10/1/2013,0,0,Yes,50,5.391630454,0 - 100
TA-00125,S-0066,10/1/2013,0,0,Yes,100,5.205232497,0 - 100
TA-00125,S-0066,10/1/2013,0,0,Yes,250,5.093950134,0 - 100
TA-00128,S-0064,2/6/2012,1,0,Yes,5,25.33621184,0 - 100
TA-00128,S-0064,2/6/2012,1,0,Yes,10,15.79374927,0 - 100
TA-00128,S-0064,2/6/2012,1,0,Yes,15,12.61385577,0 - 100
TA-00128,S-0064,2/6/2012,1,0,Yes,20,11.02251799,0 - 100
TA-00130,S-0054,4/10/2001,0,0,Yes,1,14.15511648,0 - 100
TA-00130,S-0054,4/10/2001,0,0,Yes,2,9.166884595,0 - 100
TA-00130,S-0054,4/10/2001,0,0,Yes,3,7.458700333,0 - 100
TA-00130,S-0054,4/10/2001,0,0,Yes,5,6.145568458,0 - 100
TA-00130,S-0054,4/10/2001,0,0,Yes,10,5.130116902,0 - 100
TA-00130,S-0054,4/10/2001,0,0,Yes,20,4.626564213,0 - 100
TA-00132,S-0066,10/1/2013,0,0,Yes,1,28.23511738,0 - 100
TA-00132,S-0066,10/1/2013,0,0,Yes,2,16.37519961,0 - 100
TA-00132,S-0066,10/1/2013,0,0,Yes,5,9.258692544,0 - 100
TA-00132,S-0066,10/1/2013,0,0,Yes,10,6.888378226,0 - 100
TA-00132,S-0066,10/1/2013,0,0,Yes,25,5.463963989,0 - 100
TA-00132,S-0066,10/1/2013,0,0,Yes,50,5.057783367,0 - 100
TA-00132,S-0066,10/1/2013,0,0,Yes,100,4.868603351,0 - 100
TA-00132,S-0066,10/1/2013,0,0,Yes,250,4.757320988,0 - 100
TA-00140,S-0066,5/12/2011,100,1,Yes,1,3.474791763,100 - 200
TA-00140,S-0066,8/1/2011,3223,1,Yes,1,1.646978962,3000 - 4000
TA-00140,S-0087,7/10/2009,1384,10,Yes,1,2.356404022,1000 - 2000
TA-00141,S-0064,11/12/2011,18,0,Yes,10,22.21474157,0 - 100
TA-00141,S-0064,11/12/2011,18,0,Yes,15,18.00826828,0 - 100
TA-00141,S-0064,11/12/2011,18,0,Yes,20,15.90503163,0 - 100
TA-00141,S-0064,11/12/2011,18,0,Yes,25,14.64197682,0 - 100
TA-00141,S-0064,11/12/2011,18,0,Yes,30,13.80179498,0 - 100
TA-00144,S-0066,3/3/2009,4,0,Yes,1,259.8554442,0 - 100
TA-00144,S-0066,3/3/2009,4,0,Yes,2,141.6123701,0 - 100
TA-00144,S-0066,3/3/2009,4,0,Yes,3,102.1989395,0 - 100
TA-00145,S-0066,6/1/2013,0,0,Yes,1,21.99217685,0 - 100
TA-00145,S-0066,6/1/2013,0,0,Yes,2,12.42745781,0 - 100
TA-00145,S-0066,6/1/2013,0,0,Yes,5,6.688069974,0 - 100
TA-00145,S-0066,6/1/2013,0,0,Yes,10,4.776795402,0 - 100
TA-00145,S-0066,6/1/2013,0,0,Yes,25,3.627805011,0 - 100
TA-00145,S-0066,6/1/2013,0,0,Yes,50,3.313432338,0 - 100
TA-00145,S-0066,6/1/2013,0,0,Yes,100,3.171547326,0 - 100
TA-00145,S-0066,6/1/2013,0,0,Yes,250,3.085303495,0 - 100
TA-00147,S-0066,6/1/2013,0,0,Yes,1,22.06729244,0 - 100
TA-00147,S-0066,6/1/2013,0,0,Yes,2,12.5025734,0 - 100
TA-00147,S-0066,6/1/2013,0,0,Yes,5,6.763185569,0 - 100
TA-00147,S-0066,6/1/2013,0,0,Yes,10,4.849128937,0 - 100
TA-00147,S-0066,6/1/2013,0,0,Yes,25,3.702920606,0 - 100
TA-00147,S-0066,6/1/2013,0,0,Yes,50,3.385765873,0 - 100
TA-00147,S-0066,6/1/2013,0,0,Yes,100,3.24666292,0 - 100
TA-00147,S-0066,6/1/2013,0,0,Yes,250,3.160419089,0 - 100
TA-00148,S-0066,8/11/2013,0,0,Yes,1,21.82803537,0 - 100
TA-00148,S-0066,8/11/2013,0,0,Yes,2,12.26331633,0 - 100
TA-00148,S-0066,8/11/2013,0,0,Yes,5,6.52392849,0 - 100
